year,season,sensor,Mean_T,Max_T,Min_T
2024,spring,Aqua_Day,41.50052944994266,53.151883623275374,26.344445110977844
2024,spring,Aqua_Night,22.599633766845624,30.940677864427144,6.598254349130205
2024,spring,Terra_Day,36.57724719571111,49.22592081583686,17.492195431472105
2024,spring,Terra_Night,24.292015918606296,33.26728854229158,7.185008998200392
2024,summer,Aqua_Day,44.154179845787056,53.173467306538726,32.59691061787645
2024,summer,Aqua_Night,28.735548430965725,32.3038092381524,25.348116376724693
2024,summer,Terra_Day,39.3717816436713,45.59286742651473,29.33000000000004
2024,summer,Terra_Night,30.932455034203258,35.244049190162,25.105080983803262
2024,autumn,Aqua_Day,34.09001541190295,39.86700059988005,26.046981132075498
2024,autumn,Aqua_Night,21.937017161498172,28.850251949610097,12.93144212523723
2024,autumn,Terra_Day,30.37180876574757,37.786076784643086,22.320837563451814
2024,autumn,Terra_Night,23.839564138602494,30.835782843431343,13.77422315536894
2024,winter,Aqua_Day,24.54910024204752,29.938434313137396,19.98601423487549
2024,winter,Aqua_Night,8.794946688702375,12.916729986431514,6.102648432288217
2024,winter,Terra_Day,18.60240343146599,22.31884223155372,13.028697068403934
2024,winter,Terra_Night,10.210494274919554,14.102909418116404,6.455962807438533
2024,average,Aqua_Day,36.07345623742005,44.03269646070789,26.24358777395132
2024,average,Aqua_Night,20.516786512002973,26.25286725965529,12.745115320845088
2024,average,Terra_Day,31.230810259148992,38.7309268146371,20.54293251583197
2024,average,Terra_Night,22.3186323415829,28.362507498500335,13.130068986202781
