year,season,sensor,Mean_T,Max_T,Min_T
2016,spring,Aqua_Day,41.99906723640792,53.649358151476285,32.173380402225106
2016,spring,Aqua_Night,22.514646594861112,30.19604193410358,9.770000000000039
2016,spring,Terra_Day,38.94920030034026,51.240397946084755,26.961861360718906
2016,spring,Terra_Night,24.391197353544243,33.07963628583656,9.29000000000002
2016,autumn,Aqua_Day,33.46496408665415,39.44574668378266,26.930000000000007
2016,autumn,Aqua_Night,19.762041222846815,27.173979460847274,11.307441077441096
2016,autumn,Terra_Day,30.872771324504022,36.05409927257168,26.09626444159181
2016,autumn,Terra_Night,20.94732376225,28.457411210954245,12.831360718870368
2016,winter,Aqua_Day,25.527980016379715,32.508630723149366,20.354592673592148
2016,winter,Aqua_Night,9.443652369865463,13.723832599118962,4.474907488986813
2016,winter,Terra_Day,22.127722427417208,28.690162601626046,15.223637992831577
2016,winter,Terra_Night,11.006777755259778,14.70903591682423,5.861792896876371
2017,spring,Aqua_Day,39.303106032137684,49.29084724005137,24.07000000000005
2017,spring,Aqua_Night,21.24913952334661,30.752036799315388,9.005507060333791
2017,spring,Terra_Day,36.09520658400647,45.66989730423622,17.650000000000034
2017,spring,Terra_Night,22.798780891848622,30.611343602909738,10.450000000000045
2017,summer,Aqua_Day,41.201573711945755,49.54857081728714,35.96050919982887
2017,summer,Aqua_Night,27.675787238411008,32.42857937526747,23.235905006418523
2017,summer,Terra_Day,38.20533355863888,50.897454000855824,25.895494223363315
2017,summer,Terra_Night,28.679455698718023,34.038104407359896,25.365267436884928
2017,autumn,Aqua_Day,35.93897881821889,42.7430937098845,24.91652259332025
2017,autumn,Aqua_Night,21.504847125156452,26.6042635658915,9.835742574257468
2017,autumn,Terra_Day,33.001692386001515,39.05727428326917,22.93604193410357
2017,autumn,Terra_Night,22.966074574972737,28.579396662387698,11.146787746170704
2017,winter,Aqua_Day,24.533588219649612,33.15547710740268,19.343600000000016
2017,winter,Aqua_Night,8.94424118269345,14.749563543003875,4.966800000000026
2017,winter,Terra_Day,21.163470602903,25.463153615746723,16.91920838682074
2017,winter,Terra_Night,9.786362569040383,15.156689507494677,4.090000000000032
2018,spring,Aqua_Day,40.51284841723646,52.998600770218246,28.046795797767594
2018,spring,Aqua_Night,20.967050925852753,27.377376979032977,14.121017728168113
2018,spring,Terra_Day,37.01138928340417,50.73446726572531,24.90399386234111
2018,spring,Terra_Night,22.57570654164008,28.75565682498933,13.735017283950647
2018,summer,Aqua_Day,39.331345500087046,50.528878904578534,30.43843478260872
2018,summer,Aqua_Night,27.41902311248229,32.526816431322224,20.630687580575866
2018,summer,Terra_Day,36.535181834311864,46.66088575096279,26.739275893675565
2018,summer,Terra_Night,29.246416894666805,33.32590072742836,20.63999080036801
2018,autumn,Aqua_Day,33.031678679849605,40.333063756953386,26.29874122096169
2018,autumn,Aqua_Night,19.910435939168924,26.82837623762379,12.316367137355611
2018,autumn,Terra_Day,31.019055865589443,38.43878904578521,25.91001711596066
2018,autumn,Terra_Night,20.903540133892886,28.07450149764658,6.88191011235957
2018,winter,Aqua_Day,22.912625361150347,27.02253424657537,17.010000000000048
2018,winter,Aqua_Night,8.272978621570768,11.617937336814661,4.365532945736459
2018,winter,Terra_Day,19.475049503012126,23.396219281663544,13.90470459518602
2018,winter,Terra_Night,8.595402599787043,12.823468809073754,5.229772727272769
2019,spring,Aqua_Day,39.954952135958905,51.49244758237059,25.580082449941138
2019,spring,Aqua_Night,21.126727156125096,29.528656397090316,8.29391836734696
2019,spring,Terra_Day,35.98972945676612,47.34976037655116,23.294364616075466
2019,spring,Terra_Night,22.575302356424476,31.27047924689775,7.682400000000036
2019,summer,Aqua_Day,42.63196305979487,51.27483525887893,31.0132189082724
2019,summer,Aqua_Night,27.775575267815682,30.71278134360294,25.214514285714305
2019,summer,Terra_Day,38.573741514978686,49.29145485665385,24.934344569288427
2019,summer,Terra_Night,29.36185433570588,32.638421052631614,25.075155279503136
2019,autumn,Aqua_Day,33.203490218979745,38.64519897304239,27.06560085836912
2019,autumn,Aqua_Night,20.72684769878024,30.04830957230146,10.770000000000039
2019,autumn,Terra_Day,31.121637738958853,37.46229781771505,24.49657815845828
2019,autumn,Terra_Night,22.264456585685195,31.004728284124973,14.081664527171618
2019,winter,Aqua_Day,24.78742817190447,30.758172871202422,18.526884895164766
2019,winter,Aqua_Night,9.055794116886844,14.17896020539156,-0.881286549707584
2019,winter,Terra_Day,21.323132554410858,26.349520753102297,15.899918699187019
2019,winter,Terra_Night,10.63067000564331,15.436325581395394,6.5644801026958
2020,spring,Aqua_Day,39.75359301038469,52.37104407359865,22.668490822569723
2020,spring,Aqua_Night,21.769322259518244,28.99359435173302,11.691643132220834
2020,spring,Terra_Day,35.83180307587469,47.570949935815186,16.39019774011302
2020,spring,Terra_Night,23.696145803090484,31.997060333761258,10.602689075630282
2020,summer,Aqua_Day,39.63814754773721,50.21732563115106,28.690000000000055
2020,summer,Aqua_Night,26.62304106589817,31.949392383397544,19.710000000000036
2020,summer,Terra_Day,36.76745695364039,46.61815575524179,27.16740693196408
2020,summer,Terra_Night,29.057990254138048,34.43706033376126,22.244501510574043
2020,autumn,Aqua_Day,34.068809280484054,41.50330765939241,20.42838658146968
2020,autumn,Aqua_Night,20.089047409534427,28.369914420196853,9.354748201438868
2020,autumn,Terra_Day,31.748039279402633,39.20697903294824,21.208650485436923
2020,autumn,Terra_Night,21.280659830117184,29.84400941377838,9.29205882352945
2020,winter,Aqua_Day,25.868868324267957,33.692421908429644,19.501090400745596
2020,winter,Aqua_Night,10.757930145558912,15.630000000000052,5.126961789375615
2020,winter,Terra_Day,22.299712187871087,29.939388104407378,16.601093155893565
2020,winter,Terra_Night,12.1621815579469,18.308331125827838,6.048792775665431
2021,spring,Aqua_Day,37.83937124653664,50.12988874625591,26.27000000000004
2021,spring,Aqua_Night,19.001115018431403,29.188279845956384,7.545308641975341
2021,spring,Terra_Day,34.088245299356736,47.171745827984616,20.098651252408512
2021,spring,Terra_Night,21.311497220880646,30.731035515618338,11.096337135614734
2021,summer,Aqua_Day,39.66459716248235,49.857308515190454,31.706828478964432
2021,summer,Aqua_Night,27.27025329667506,32.32568677792043,23.263447098976155
2021,summer,Terra_Day,36.341915137182475,45.02342747111685,24.778401826484057
2021,summer,Terra_Night,28.578977236992856,34.54971758664958,22.745567010309294
2021,autumn,Aqua_Day,31.713129213447964,39.10321352160893,23.69180064308687
2021,autumn,Aqua_Night,18.24187346540161,25.753281250000036,11.172490372272172
2021,autumn,Terra_Day,28.903339248849353,35.69747111681645,22.510000000000048
2021,autumn,Terra_Night,19.58488851756301,26.91153187847671,12.31944908180305
2021,winter,Aqua_Day,23.660871151116094,27.447569533590098,19.613585793752712
